1	1	5	963352800
2	1	5	963352800
3	1	5	963352800
4	1	4	963352800
5	1	4	963352800
6	1	5	963612000
7	1	4	964476000
9	1	3	965253600
10	1	4	965599200
11	1	5	965685600
12	1	3	966981600
14	1	3	967672800
16	1	4	977353200
17	1	5	977526000
19	1	5	980377200
20	1	4	980463600
21	1	1	982796400
23	1	5	983660400
24	1	4	968277600
25	1	4	1001973600
26	1	5	1002837600
27	1	5	1004914800
28	1	4	968536800
30	1	4	1066514400
32	1	5	1081375200
34	1	5	968968800
35	1	5	1154296800
37	1	3	969487200
38	1	4	969573600
40	1	4	1275343200
41	1	4	1279404000
42	1	5	969832800
44	1	4	970178400
45	1	5	963180000
47	2	4	964044000
49	2	4	1074639600
50	2	5	1077836400
51	2	5	1082584800
52	2	3	1084312800
54	2	4	1106089200
55	2	4	1107903600
56	2	5	1136242800
57	2	4	1149372000
58	2	4	1159480800
59	2	4	1184364000
61	2	5	1210111200
62	2	5	1326668400
63	3	3	975884400
64	3	4	976057200
65	3	3	977007600
66	3	3	977439600
67	3	3	977439600
68	3	2	978303600
69	3	3	991087200
70	3	4	991173600
71	3	3	992469600
73	3	2	995839200
74	3	2	1001541600
75	4	4	963957600
77	4	4	964562400
80	4	5	965253600
83	4	4	965685600
84	4	5	965858400
86	4	2	965944800
87	4	3	965944800
12	4	4	966031200
88	4	2	966204000
44	4	5	978130800
92	4	2	984351600
93	4	3	988149600
19	4	5	988322400
94	4	5	988581600
95	4	5	1003528800
96	4	5	1015542000
97	4	1	1079650800
98	4	4	1080597600
99	4	4	1110409200
100	4	4	1142982000
40	4	3	1282946400
102	5	4	967759200
103	5	5	1122069600
105	5	5	1179266400
106	5	3	1234566000
24	6	5	964044000
108	6	5	1011394800
109	6	5	1234825200
62	6	5	1306188000
110	7	3	1087423200
111	8	5	964476000
110	8	5	1098482400
113	9	4	982278000
114	9	5	983487600
115	9	2	1005174000
116	10	4	964476000
117	10	5	965340000
118	10	5	1061244000
39	10	5	1306101600
119	10	4	1311976800
120	11	5	961020000
121	11	5	963784800
24	11	5	964303200
122	11	5	961624800
101	11	5	965599200
101	11	4	965599200
123	11	5	965772000
123	11	5	965772000
123	11	5	965772000
127	11	5	978822000
127	11	5	978822000
128	11	5	979599600
129	11	4	980636400
131	11	5	982450800
132	11	4	986162400
134	11	5	995925600
135	11	1	997480800
136	11	4	1001368800
137	11	5	1001455200
138	11	5	1004396400
142	11	4	1107212400
143	11	4	1114466400
144	11	3	1140476400
145	11	5	1171494000
147	11	4	1233874800
148	11	5	1276380000
154	12	3	966204000
155	12	4	966290400
156	12	3	967413600
157	12	3	967672800
160	12	2	987890400
161	12	3	991087200
27	12	3	998172000
163	12	4	998431200
24	12	3	969141600
39	12	2	1305583200
167	12	2	970696800
168	12	5	963007200
150	13	3	963698400
169	13	4	964389600
24	13	3	964735200
153	13	4	965772000
170	13	3	965944800
157	13	3	966031200
155	13	4	966290400
174	13	4	969487200
175	13	1	1234220400
176	13	4	1248991200
177	13	2	1289084400
39	13	2	1305583200
167	13	1	970696800
180	14	1	962229600
181	14	2	986508000
182	14	1	997394400
183	14	2	1016578800
97	14	1	1079046000
185	14	2	1115330400
186	14	1	1119218400
110	14	1	1207864800
188	14	3	1229209200
189	14	3	1233010800
39	14	1	1249250400
190	15	5	963871200
8	16	5	964476000
125	16	5	977266800
127	16	3	978822000
193	16	3	1001282400
194	16	5	1003356000
163	16	3	1004133600
27	16	4	1019858400
